"","Cd. central","Contorno 1","Contorno 2","Contorno 3","Salen"
"Cd. central",0.56,0.63,0.547,0.547,0.596
"Contorno 1",0.755,0.849,0.718,0.883,0.798
"Contorno 2",0.905,0.988,0.902,0.952,0.951
"Contorno 3",1.011,1.007,1.032,1.041,1.017
"Llegan",0.71,0.815,0.779,0.869,0.782
